1, 2, 3, 4, 5, avg
9.957398655884057703e-01,6.976218848690232122e-01,4.808712333757991786e-01,6.061852312884922211e-01,7.416755416433927772e-01,7.044187513530226763e-01
4.375339917475505880e-01,9.078541456879259952e-01,6.022933887666803709e-01,8.187805016794679203e-01,8.791957962720328146e-01,7.291315648307314934e-01
7.449167641151706043e-01,5.688164998000692085e-01,2.103955595505400122e-01,9.791714416199019944e-01,4.450369909161389081e-02,5.095607928354590754e-01
1.814207123908240238e-02,3.606535915810722415e-01,2.498382847513588301e-01,1.560931521012036693e-01,1.689070721448628909e-01,1.907268343635160068e-01
1.024472380550514039e-01,6.390752212460639736e-01,7.277174263144490229e-01,3.596071016400269604e-01,1.746191395854398420e-01,4.006932253682062850e-01
1.930630023614993140e-01,5.002039294659208490e-01,2.792133971783640201e-01,7.062849444020757872e-01,6.725008062647039875e-01,4.702532159345128027e-01
7.647049507777095023e-01,1.835502944232827449e-01,9.075638918461902405e-01,9.432874392850344458e-01,5.062496612022608922e-01,6.610712475068954985e-01
6.378358107256101306e-01,3.022088975375631925e-01,6.775983470426423239e-01,3.590191386863297307e-01,8.511563027796256176e-01,5.655636993543542435e-01
7.740690563794403456e-01,4.736612481830914101e-01,8.390166586243629210e-01,4.768718974845692626e-01,7.520390451748830696e-01,6.631315811692694018e-01
9.319528148264712986e-01,1.601810568602116680e-01,1.347594186417696571e-01,4.651661524442860518e-01,9.120964135383043958e-01,5.208311712622085698e-01
4.272601303091688729e-01,7.348265879786521904e-01,2.569216648882857168e-01,8.922479804802267989e-01,5.228144785781418946e-02,4.727075623028295648e-01
9.998833564187133982e-01,1.890649772833209452e-01,9.008427856243872434e-01,3.553670378346629466e-02,5.046918846666771374e-01,5.260039415553129372e-01
3.920986537093718027e-01,9.836453220049334867e-02,5.319253478205379082e-01,6.672527583158387454e-01,6.770187610427601532e-01,4.733320106178003916e-01
8.385183340882396141e-01,8.917698081396167042e-01,3.897764065913622566e-02,1.316394653806742809e-01,5.330067044764323914e-01,4.867823905488198877e-01
1.342146509740415050e-01,2.015827501096293384e-01,8.651671054654885840e-02,8.718048451865799686e-01,9.220832374609329030e-01,4.432404388555465369e-01
6.251972912476900790e-01,9.032404212360148898e-01,7.759926011685608360e-01,8.675379801679119485e-01,2.412895329782438480e-01,6.826515653596842981e-01
1.018174985404447508e-01,7.253828888208830872e-01,1.568541405232519725e-01,1.717964745860097731e-01,3.794134693335909914e-01,3.070528943608361594e-01
9.307732325070225965e-01,9.911493354304178327e-01,7.861716302422350200e-02,4.891800246520591200e-01,9.920842377392237177e-01,6.963607986705893094e-01
8.507529931918768051e-01,8.028983944686740593e-02,4.283051296672198971e-01,1.435327895167548551e-01,2.248486473903250626e-01,3.455458798426088163e-01
4.892687464227525318e-01,6.406856953349694406e-01,3.382312659450804615e-01,5.058977443025616250e-01,5.686254630190171744e-01,5.085417830048762911e-01
9.378394758677636167e-01,4.728756774659207407e-01,3.010568522609544662e-01,3.822638469679157103e-01,3.927867645587203027e-01,4.973645234242550228e-01
9.960959023675569624e-01,2.007054235815581844e-01,2.059944358766698791e-01,6.758502127376790902e-01,9.223780616449649417e-01,6.002048072416857893e-01
1.394410500599639890e-01,7.869615018732318834e-01,9.138651277155257491e-01,7.209614199875259422e-01,4.998382964184586719e-01,6.122134792109412693e-01
3.552946273904799002e-01,2.616879001862857379e-01,5.126629647526148581e-01,7.767621453932301856e-01,8.174069642196768459e-01,5.447629203884574167e-01
1.939581264986293130e-01,4.401400725899223820e-01,2.787741109377823712e-01,9.323056756241356879e-01,4.034001780470301002e-01,4.497156327394999376e-01
6.623335286288297707e-01,5.320347298112231282e-01,5.963057046359265811e-01,2.012245494236563070e-01,7.911696477810638006e-01,5.566136320561398954e-01
9.396903228100483840e-02,7.062421535760011748e-01,6.333925096926270593e-01,8.159243552492031482e-01,6.725734176551556587e-01,5.844202936907983981e-01
4.447294189442327905e-01,7.988161759486812619e-01,2.607804737222291225e-01,7.389422236636237207e-01,3.836458398837394590e-03,4.494209501355208580e-01
4.580623091905917654e-01,3.337371044189977320e-01,7.372181337607479623e-01,2.652792928957226071e-01,2.602240108993473244e-01,4.109041702330815116e-01
9.933831350140210903e-01,1.737504056954801701e-01,6.686733438153972253e-01,5.699874217874101312e-02,9.650608520370809185e-01,5.715732957481440835e-01
9.734891002076101474e-01,1.926055120197945891e-01,2.810576716420977172e-01,4.666559773286090840e-01,7.235747328329692474e-01,5.274765988062161126e-01
6.485764036059409321e-01,1.876027541414815314e-01,9.873096562755258043e-01,1.163988152877284410e-01,2.256846893180844971e-01,4.331144637257522412e-01
4.934921869769944847e-01,2.117363780645333815e-01,1.712770394704299370e-02,3.052354476941518957e-01,8.738771618601002267e-01,3.802937757085645964e-01
5.991361317412896570e-01,7.233526651458188628e-02,2.381954593538774256e-01,3.549098309721517852e-01,8.845372603559804592e-01,4.298227897875762094e-01
